Time/Buffer,Train/Value,Train/V,Train/Loss,Train/Policy_loss,Train/Entropy_Loss,Train/LogProb,Train/Action_std,Itr,Train/control_penalty,Train/Action_magnitude_L1,Time/Critic_Time,Train/Entropy_loss,Train/PolicyClip,Time/B_Format_Time,Train/Entropy,Train/policy_loss,Train/Return,Train/recon_loss,train/batch_reward,Train/Action_magnitude,Train/Action_max,Train/Action_abs_mean,Time/Actor_Time,Time/B_Original_Format_Time,Train/Ratio,Train/Grad_norm_actor
0.005796194076538086,-0.0666277,,,,,,,,,,,,,,,,,,,,,,,,,
0.00021004676818847656,-0.059486564,-0.059486564,-0.15944457,-0.17158066,-0.001298123598098755,-2.9871986,0.96035445,0,1.3434213,1.8701445,0.0,-0.001298123598098755,0.025339937,0.003222942352294922,1.2981236,-0.17158066,0.10289925,0.0,0.01,1.5100642,0.5661284,0.30401126,0.009301185607910156,0.003390073776245117,1.0435442,0.0
0.0003151893615722656,0.06233668,0.06233668,-0.32354277,-0.3341368,-0.001173945426940918,-2.6609576,0.83495677,1,1.1767977,1.6828892,0.0,-0.001173945426940918,0.034157224,0.0032761096954345703,1.1739454,-0.3341368,0.3793746,0.0,0.025,1.356437,0.59197545,0.36125106,0.009244203567504883,0.003454923629760742,1.0740519,0.0
0.00038313865661621094,0.617335,0.617335,-0.11678876,-0.12611368,-0.0011867388486862182,-2.396758,0.8372189,2,1.0511665,1.4669931,0.0,-0.0011867388486862182,0.015558524,0.003256082534790039,1.1867388,-0.12611368,0.7303493,0.0,0.02,1.1750432,0.557982,0.2864145,0.009225845336914062,0.00345611572265625,1.081801,0.0
0.00027680397033691406,0.10156336,0.10156336,-0.0069858423,-0.015579325,-0.0009484719038009644,-2.2217567,0.67793775,3,0.9541956,1.2875708,0.0,-0.0009484719038009644,0.0074512935,0.003245830535888672,0.9484719,-0.015579325,0.1146999,0.0,0.005,1.0508615,0.6007692,0.12638408,0.009010791778564453,0.0035147666931152344,0.9701614,0.0
0.00027489662170410156,0.23176573,0.23176573,-0.10404922,-0.11234608,-0.0009791919589042665,-2.0331802,0.6703311,4,0.92760557,1.1557873,0.0,-0.0009791919589042665,0.03547289,0.003175973892211914,0.97919196,-0.11234608,0.32683286,0.0,0.01,0.9133236,0.39478797,0.2479454,0.009222984313964844,0.0033240318298339844,0.95607924,0.0
0.00020003318786621094,0.20847973,0.20847973,0.015890187,0.0075941994,-0.0009633789658546448,-2.0748389,0.65815103,5,0.92593664,1.0803306,0.0,-0.0009633789658546448,0.008656586,0.0031349658966064453,0.96337897,0.0075941994,0.19605078,0.0,0.0,0.85469645,0.3910969,0.27801996,0.008935928344726562,0.003326892852783203,0.86199576,0.0
0.00028014183044433594,0.176287,0.176287,-0.028268782,-0.038446136,-0.0012039867639541627,-2.4464312,0.8530642,6,1.1381341,1.3909832,9.5367431640625e-07,-0.0012039867639541627,0.009366149,0.0032007694244384766,1.2039868,-0.038446136,0.20442954,0.0,0.005,1.123919,0.46364403,0.22617301,0.008957862854003906,0.0033898353576660156,0.92211634,0.0
0.0002741813659667969,0.18439926,0.18439926,-0.01908474,-0.029304724,-0.001250211000442505,-2.7814066,0.88463026,7,1.1470194,1.6170888,0.0,-0.001250211000442505,0.021323409,0.003259897232055664,1.250211,-0.029304724,0.203857,0.0,0.005,1.2680886,0.4673533,0.31994346,0.008955001831054688,0.0033690929412841797,0.9190829,0.0
0.0003209114074707031,0.1285435,0.1285435,-0.5178733,-0.52652013,-0.0009144126772880555,-1.9870678,0.6515461,8,0.9561267,1.3556155,0.0,-0.0009144126772880555,0.01919231,0.003122091293334961,0.9144127,-0.52652013,0.62734747,0.0,0.04,1.0982542,0.4115124,0.31546775,0.009184122085571289,0.003309965133666992,1.0974048,0.0
0.00033211708068847656,0.31366077,0.31366077,-0.6775001,-0.68833905,-0.0011053812503814698,-2.1818645,0.78091383,9,1.194429,1.4483486,0.0,-0.0011053812503814698,0.08563877,0.0035767555236816406,1.1053813,-0.68833905,0.95587766,0.0,0.055,1.1573998,0.5240122,0.32291862,0.008846044540405273,0.0034220218658447266,1.1296055,0.0
0.0003006458282470703,0.75919604,0.75919604,-0.17419359,-0.18303482,-0.0009504016637802125,-2.2367184,0.65184754,10,0.9791632,1.3600796,0.0,-0.0009504016637802125,0.016091483,0.0031707286834716797,0.95040166,-0.18303482,0.92336,0.0,0.02,1.0883454,0.47930142,0.2915563,0.009037017822265625,0.003330230712890625,1.0348456,0.0
0.00020194053649902344,0.92159253,0.92159253,-0.2908986,-0.3005018,-0.0008868125677108765,-1.951936,0.63496476,11,1.0490005,1.2703072,0.0,-0.0008868125677108765,0.05161682,0.0031578540802001953,0.88681257,-0.3005018,1.188658,0.0,0.025,1.006045,0.42724115,0.34031898,0.009164094924926758,0.003324270248413086,1.0478984,0.0
