Train/Value,Time/Buffer,Train/Return,Time/B_Format_Time,Train/LogProb,Time/Actor_Time,Train/policy_loss,Train/Action_std,Train/Action_magnitude_L1,Train/Entropy_loss,Itr,Train/Ratio,Train/recon_loss,Train/PolicyClip,Train/Action_max,Train/Action_abs_mean,train/batch_reward,Train/Grad_norm_actor,Train/Entropy_Loss,Train/Policy_loss,Time/B_Original_Format_Time,Train/Loss,Train/control_penalty,Train/Action_magnitude,Train/Entropy,Train/V,Time/Critic_Time
4.205055,0.014131784439086914,,,,,,,,,,,,,,,,,,,,,,,,,
4.4390264,0.0050580501556396484,3.5747383,0.07621288299560547,-32.016903,0.09394192695617676,0.70944554,0.38493264,0.4657955,-7.535240054130555e-05,0,0.038282868,0.0,0.67136693,0.16935912,0.7841934,0.0105,0.0,-7.535240054130555e-05,0.70944554,0.0785067081451416,0.72333443,1.396424,0.3628458,0.0753524,4.4390264,0.0
3.8147411,0.0015180110931396484,2.9079392,0.07303214073181152,-0.41514012,0.08682799339294434,0.8933794,0.3770301,1.2414957,-0.0002579506933689118,1,0.9137422,0.0,0.05879315,0.328312,0.58587223,0.00025,0.0,-0.0002579506933689118,0.8933794,0.0711970329284668,0.9037898,1.0668391,1.0076302,0.2579507,3.8147411,0.0
1.1621462,0.0019462108612060547,0.97694474,0.0754690170288086,-0.5064151,0.10071182250976562,0.1855713,0.35133502,1.1993872,-0.0002901928424835205,2,1.0024208,0.0,-0.0032363082,-0.2506244,0.5849882,0.00025,0.0,-0.0002901928424835205,0.1855713,0.07488894462585449,0.19488466,0.96035653,0.9611996,0.29019284,1.1621462,7.152557373046875e-07
1.6140293,0.0033903121948242188,1.3087925,0.09038114547729492,-0.62579316,0.09706592559814453,0.2999764,0.38931447,1.2929648,-0.0003489368557929993,3,0.9843181,0.0,0.00027442965,-0.0101756165,0.59357786,0.002,0.0,-0.0003489368557929993,0.2999764,0.08965110778808594,0.309791,1.0163522,1.0283107,0.34893686,1.6140293,0.0
1.9916835,0.0014801025390625,1.5618571,0.07497167587280273,-0.7411945,0.0897209644317627,0.4139913,0.44245964,1.4437187,-0.00044491469860076906,4,0.9558759,0.0,-0.0064662704,0.35340598,0.64818865,0.0035,0.0,-0.00044491469860076906,0.4139913,0.07318973541259766,0.42537105,1.1824669,1.1513991,0.4449147,1.9916835,0.0
2.276925,0.0014140605926513672,2.2710567,0.07710599899291992,-1.1239485,0.08531594276428223,-0.012161907,0.542388,1.5895792,-0.0005685467720031738,5,0.9100902,0.0,0.03713581,0.26270723,0.7366752,0.0195,0.0,-0.0005685467720031738,-0.012161907,0.07138705253601074,0.00084976107,1.3580215,1.3033949,0.5685468,2.276925,9.5367431640625e-07
2.0964046,0.0034532546997070312,1.6572655,0.07101607322692871,-1.2892866,0.08602380752563477,0.4232921,0.5708816,1.4279734,-0.0006838748455047607,6,0.97009206,0.0,-0.0049680923,0.18374021,0.5753932,0.005,0.0,-0.0006838748455047607,0.4232921,0.07173609733581543,0.43421376,1.1605542,1.1389052,0.68387485,2.0964046,1.1920928955078125e-06
1.7080935,0.0016369819641113281,1.3016257,0.07607889175415039,-1.2408925,0.08547711372375488,0.40942067,0.46119285,0.97268593,-0.0006333412528038025,7,0.9936578,0.0,-0.015804447,-0.12904954,0.31764767,0.0,0.0,-0.0006333412528038025,0.40942067,0.07501578330993652,0.41606382,0.7276483,0.7644773,0.63334125,1.7080935,1.1920928955078125e-06
0.9149348,0.003607034683227539,1.0604819,0.07220602035522461,-1.7065824,0.08613014221191406,-0.15099889,0.654595,1.6777537,-0.0008170902132987976,8,0.9995866,0.0,-0.001224076,0.17919071,0.6872854,0.02175,0.0,-0.0008170902132987976,-0.15099889,0.07925987243652344,-0.13785689,1.3959093,1.3914226,0.8170902,0.9149348,0.0
