Time/Buffer,Train/Value,Train/PolicyClip,Train/Grad_norm_actor,Train/Loss,Train/control_penalty,Train/LogProb,Train/recon_loss,Train/policy_loss,Train/Action_magnitude_L1,Train/Entropy_loss,Time/Critic_Time,Train/Action_std,Train/Action_magnitude,Time/Actor_Time,Train/Action_abs_mean,Time/B_Format_Time,Train/Action_max,Train/Entropy_Loss,Time/B_Original_Format_Time,Train/Return,Train/Ratio,train/batch_reward,Itr,Train/V,Train/Policy_loss,Train/Entropy
0.047965049743652344,1.8880402,,,,,,,,,,,,,,,,,,,,,,,,,
0.020537137985229492,1.2335641,0.0,0.0,0.122468226,0.40725803,1.1962867,0.0,0.1177948,0.5199797,0.000600851058959961,0.0,0.13826978,0.40645477,0.3564610481262207,0.23473792,0.37584781646728516,0.18169782,0.000600851058959961,0.37993717193603516,1.1157752,1.000011,0.01695,0,1.2335641,0.1177948,-0.60085106
0.014532089233398438,1.341221,0.0,0.0,0.14315069,0.36336216,1.4014329,0.0,0.13881728,0.47202402,0.0006997896432876587,1.9073486328125e-06,0.123847924,0.3641335,0.3505699634552002,0.21676223,0.3986630439758301,0.16547783,0.0006997896432876587,0.4064910411834717,1.202403,1.0000048,0.0121,1,1.341221,0.13881728,-0.69978964
0.014349699020385742,2.1033976,0.0,0.0,0.15385784,0.39480639,1.3187933,0.0,0.14925377,0.5121187,0.0006560159921646118,0.0,0.12955076,0.39393908,0.4147350788116455,0.2349014,0.4029569625854492,0.19453557,0.0006560159921646118,0.38999509811401367,1.9541419,1.0000019,0.02485,2,2.1033976,0.14925377,-0.656016
0.02963089942932129,1.449907,0.0,0.0,0.15033017,0.43837982,1.2322056,0.0,0.14532983,0.55563956,0.0006165350079536438,0.0,0.13419987,0.4368292,0.4149630069732666,0.2521018,0.3747062683105469,0.16182017,0.0006165350079536438,0.3809201717376709,1.3045728,0.9999896,0.02725,3,1.449907,0.14532983,-0.616535
0.018883943557739258,1.37059,0.0,0.0,0.07984082,0.41819292,1.1545643,0.0,0.075079285,0.5391148,0.0005796013474464416,0.0,0.14086688,0.41727695,0.6453890800476074,0.24313362,0.5214688777923584,0.22166622,0.0005796013474464416,0.4306521415710449,1.2955145,1.0000085,0.02345,4,1.37059,0.075079285,-0.57960135
0.01841902732849121,1.6432254,0.0,0.0,0.2148973,0.41515225,1.115451,0.0,0.21018843,0.5358281,0.0005573419928550721,0.0,0.14386296,0.4146886,0.35187506675720215,0.23810223,0.380878210067749,0.22488649,0.0005573419928550721,0.3784370422363281,1.4330393,1.0000092,0.01425,5,1.6432254,0.21018843,-0.557342
0.017174243927001953,2.237166,0.0,0.0,0.059751842,0.3963039,1.2142364,0.0,0.055174977,0.51333416,0.0006138287186622619,0.0,0.13515165,0.39482704,0.3432140350341797,0.23326081,0.37890195846557617,0.17481695,0.0006138287186622619,0.3774888515472412,2.1819866,0.99999315,0.03815,6,2.237166,0.055174977,-0.6138287
0.016949176788330078,1.8163887,0.0,0.0,0.18057011,0.39821175,1.2410297,0.0,0.17597216,0.5141356,0.00061583811044693,0.0,0.13543949,0.39748532,0.34945225715637207,0.23406015,0.3765299320220947,0.21425167,0.00061583811044693,0.3764963150024414,1.6404197,1.0000026,0.02095,7,1.8163887,0.17597216,-0.6158381
0.018024206161499023,2.3182802,0.0,0.0,0.014859924,0.46717042,1.0158356,0.0,0.00967918,0.60331684,0.0005090401172637939,0.0,0.15104826,0.46884406,0.3480498790740967,0.2722351,0.36031007766723633,0.25941122,0.0005090401172637939,0.36397290229797363,2.3086016,0.9999922,0.0532,8,2.3182802,0.00967918,-0.5090401
